,0
398,ULK3
399,GRXCR2
400,PILRA
401,WT1-AS
402,DPH7
403,ARHGAP17
404,OLFML2B
405,MESP2
406,PSMG3-AS1
407,AGPS
408,CLCA4
409,BID
410,XPO6
411,RBM43
412,OSBP2
413,LINC01291
414,PIGG
415,POLL
416,MTCH1
417,MYH15
418,LINC01470
419,SPINT2
420,MYO1B
421,MBD3
422,SLC25A14
423,CTSW
424,RADIL
425,LINC00469
426,ZNF699
427,SNU13
428,STON1-GTF2A1L
429,KLHL2
430,RAD51B
431,SLC1A6
432,GJC2
433,PSMB6
434,CAPNS1
435,SCN4B
436,TMEM221
437,TMCO2
438,MRPS15
439,RWDD1
440,RBM27
441,AMELX
442,RPS6
443,CXCR6
444,EME2
445,CNTNAP2
446,STPG2
447,PARS2
448,ISCU
449,UPF1
450,HCN2
451,SLC6A2
452,ZSCAN2
453,CRIP2
454,E2F1
455,NCAN
456,ACP1
457,LINC01504
458,DYNLRB1
459,ITGBL1
460,CSMD2
461,DRD2
462,FLI1
463,DNA2
464,SPDYE6
465,NDUFB2
466,MRPL10
467,C5orf46
468,LINC00671
469,CPLX4
470,TMEM97
471,DDR2
472,SVOPL
473,FCRLB
474,CSRNP3
475,IRX4
476,PCDHA1
477,PHACTR2
478,LAMA1
479,PIM1
480,LINC01432
481,TRMT112
482,KLHL18
483,LINC00222
484,ITGB3
485,GGT5
486,MDH2
487,LINC00943
488,METTL18
489,MAGI1
490,NPAT
491,ZNF202
492,PRKCQ
493,MLX
494,DNAJB1
495,GNB4
496,RFK
497,C11orf52
498,BTBD2
499,MPP7
500,ZNF827
501,DDC
502,TPST1
503,TLR1
504,GPR171
505,MRGPRG-AS1
506,MOCS2
507,EGLN2
508,CNTN5
509,RAB43
510,STK36
511,SCIN
512,ALG1L2
513,AGXT
514,GAS7
515,ARHGAP20
516,IGKV2-24
517,SNX30
518,FAM222A-AS1
519,KIF4A
520,RAG1
521,PLEKHG2
522,PNPLA2
523,C1QL2
524,RCHY1
525,INSM1
526,PLEKHM2
527,SPOCK3
528,TBC1D25
529,SDR42E2
530,SLC8A1
531,PRSS58
532,ELK3
533,PPP3R2
534,ANKRD46
535,ANKRD20A1
536,ADAM21
537,DNAJC30
538,OLFM2
539,DRAXIN
540,ZDHHC13
541,GRTP1-AS1
542,RABIF
543,GALM
544,DOLPP1
545,ZNF185
546,SWT1
547,LINGO4
548,KRT84
549,SLC29A1
550,GLP1R
551,GATA2
552,CFD
553,NTRK2
554,TCP11L1
555,ZNF404
556,LINC01353
557,NRSN2-AS1
558,ARL10
559,ZIC1
560,AMOTL2
561,ZNF419
562,F2RL2
563,VDAC2
564,TPX2
565,NHS
566,EEF1G
567,CNPPD1
568,CKAP4
569,TNS1
570,RBM3
571,OSGIN1
572,NUDT6
573,SLC35A3
574,SRA1
575,NOVA2
576,KRTAP10-4
577,STK17A
578,GPR25
579,CREB3L4
580,PLAC8L1
581,KCNK9
582,TOR3A
583,SMARCA1
584,BBS10
585,WDR5B
586,ARPIN
587,LYL1
588,NEFH
589,FBXO10
590,ZNF214
591,CHRNA5
592,GLIPR1L1
593,CDC42EP4
594,MTR
595,MRPS26
596,CPSF7
597,CDC14A
598,MYSM1
599,ZNF593
600,TRIM17
601,SYNGAP1
602,LINC01117
603,LGALS2
604,CCT6B
605,UCN
606,ACTR3
607,DNAJB8
608,MROH1
609,ZNF322
610,KBTBD12
611,C19orf81
612,E2F3
613,RPTN
614,USP29
615,AUTS2
616,PSMG4
617,TAF1B
618,ZNF576
619,PLAC9
620,SERPINB11
621,STPG1
622,FAM216A
623,WAS
624,ERCC3
625,SLC26A8
626,RFC2
627,IGLV2-23
628,COX16
629,LINC01611
630,TRAV30
631,PCGF2
632,RPEL1
633,SGCZ
634,LINC00907
635,ACAT2
636,PES1
637,FBXO3
638,EEPD1
639,FAM66C
640,EIF3L
641,TAGLN3
642,FXYD4
643,CHRNA4
644,NEK3
645,CSDE1
646,PPM1M
647,QKI
648,CCNDBP1
649,NFE2L3
650,VAPA
651,TRIM2
652,LRRC45
653,ERI2
654,MUC17
655,SHCBP1
656,IGKV3-7
657,ADH1C
658,DOC2B
659,C2orf81
660,ZNF821
661,AKAP4
662,ITGA11
663,BBOF1
664,COQ10A
665,CTAGE9
666,CHN2
667,CTSC
668,SMC2
669,MPP2
670,DHPS
671,NUP88
672,RPP40
673,ALDH6A1
674,ZNF862
675,ZNF497
676,TAC3
677,FAM106A
678,NACC1
679,WFDC1
680,S100PBP
681,DENND1C
682,LINC01490
683,IRAK2
684,OR2L2
685,LZTS2
686,MGAT4A
687,ABCE1
688,PSMD6-AS2
689,SVBP
690,DACH1
691,LINC00867
692,C2orf69
693,DDX20
694,ADCY8
695,IGLV3-25
696,UBXN10
697,A1BG
698,TRIM60
699,WDR25
700,HMGN3
701,EMC1
702,HNF4G
703,LYRM9
704,SLC24A4
705,OFD1
706,RNPS1
707,PCDH11Y
708,STK25
709,VAX2
710,PTPN5
711,LRP11
712,SNCG
713,DPRX
714,ECH1
715,RTN4
716,DACT3
717,NRF1
718,HOXC13
719,LINC00896
720,PSRC1
721,ABCA9-AS1
722,KCNJ13
723,VEGFA
724,JADE1
725,CREBRF
726,FARSB
727,TATDN2
728,MPZL3
729,ZNF579
730,TMEM147-AS1
731,SPAG7
732,NFYA
733,ZNF343
734,NXPH1
735,GLIPR2
736,PHYKPL
737,ZNF778
738,PPFIA4
739,TSSC4
740,PNPLA3
741,MED28
742,E2F5
743,GPD1
744,TRPV4
745,SIPA1
746,MLLT1
747,NCOR1
748,TXNRD2
749,PRR5L
750,ZMIZ2
751,SIGLEC7
752,CFAP52
753,SLC27A6
754,PHC1
755,KANSL3
756,CSTA
757,ZNF525
758,SYF2
759,SARAF
760,TIMM10
761,JMJD6
762,PANX2
763,VAMP3
764,NLRP14
765,PTPRE
766,RIPPLY1
767,ZNF681
768,PARD6B
769,CRELD1
770,CCZ1
771,MCOLN2
772,HAS3
773,GSPT2
774,GMPR2
775,LINC01539
776,GLI4
777,SLC6A9
778,PAIP2
779,IGHV3-35
780,CHEK1
781,AURKB
782,SLK
783,SCGB1C1
784,NUDC
785,VWA8-AS1
786,NRIP2
787,HBP1
788,CXCR4
789,C12orf76
790,SOX10
791,WDR93
792,MPND
793,COL6A3
794,PEX14
795,DDX10
796,TMEM86B
797,U2AF1L4
798,ULBP3
799,MFAP5
800,ZNF729
801,MFAP1
802,NDUFB11
803,TEX36
804,TMEM98
805,VPS53
806,WRAP53
807,RPL6
808,PPP1R27
809,P2RX2
810,MN1
811,CYP1B1-AS1
812,AKAP6
813,DRD3
814,AVPI1
815,TSR2
816,TMPRSS11F
817,ISG20
818,LINC01505
819,SUPT6H
820,CCDC22
821,NOP14
822,DAP3
823,VAMP5
824,TCP11
825,ITPRIP
826,HES4
827,LARP1B
828,MYH11
829,ERVK3-1
830,MYLK2
831,DDI1
832,SRGAP2C
833,SAMHD1
834,EFHC2
835,FSCN2
836,IGKV1-8
837,STC2
838,MBLAC2
839,SLC32A1
840,SERPINB6
841,CCDC70
842,NEK2
843,BAZ2B
844,LINC01600
845,HEYL
846,TSPYL5
847,NEK4
848,EMSY
849,SPRTN
850,BDNF-AS
851,RBX1
852,PLEKHB2
853,ICAM1
854,KNCN
855,ABTB2
856,RSPO3
857,NUDT14
858,CDHR3
859,LINC01397
860,CDK5R1
861,CYTH2
862,LY75
863,ZNF670-ZNF695
864,NPY2R
865,TTC12
866,RMND5B
867,MCM3AP
868,RAB40B
869,NELL1
870,LRRC74B
871,TPH1
872,PRKAR1B
873,CDCP1
874,GALNT14
875,PHPT1
876,MIR3142HG
877,EIF3H
878,MYLK-AS2
879,LINC01126
880,UNK
881,FOXC1
882,MTMR14
883,INO80
884,DEPDC5
885,PIDD1
886,ELOVL3
887,LRPAP1
888,ERH
889,REC114
890,NUCKS1
891,TMEM184B
892,RPL7
893,ALDH1L2
894,FANK1-AS1
895,ENDOG
896,BTBD6
897,DRG1
898,HNRNPUL1
899,TMEM105
900,PCAT2
901,ZNF85
902,POLR2B
903,PPP1R9B
904,MAN2A1
905,FASTKD5
906,CYBRD1
907,RGS9
908,GLYAT
909,LBX2-AS1
910,SPCS3
911,CAMK4
912,C17orf75
913,PTPN11
914,CCDC71
915,NT5C1B-RDH14
916,TNFAIP6
917,TOP1MT
918,SUOX
919,KCNK3
920,SRSF1
921,DNAJC17
922,CAB39
923,KRTAP2-1
924,S1PR2
925,ILKAP
926,RNF19B
927,ALOX15B
928,TCL1B
929,LOXL2
930,IRF2BP1
931,MFNG
932,SUMO2
933,COG4
934,TRAV20
935,SPATA17
936,NMT2
937,ZNF567
938,SYBU
939,RCOR3
940,ZC3H12D
941,ZNF559
942,BLACAT1
943,PAX1
944,LOH12CR2
945,GSTO2
946,TMPRSS11B
947,RPAP3
948,SNX24
949,PCBP3
950,ADGRE5
951,MTMR3
952,EMILIN1
953,ZNF45
954,COMMD9
955,RHBDD1
956,KLK11
957,WWC1
958,USP2
959,RAD54B
960,FXYD2
961,TFAP2B
962,TRAV9-2
963,AUNIP
964,NOTCH3
965,RUNX1
966,ZNF12
967,URAD
968,SNED1
969,MT1F
970,NEK9
971,KDM6B
972,THAP10
973,ACOT9
974,PXYLP1
975,CARD9
976,TIGD2
977,SERPINB5
978,COX7A2L
979,IL12A
980,TP53I11
981,MAB21L2
982,CNPY4
983,PDC
984,ZNF350
985,MNAT1
986,MUSK
987,PKNOX2
988,SMARCAD1
989,TLDC2
990,MKS1
991,METTL21A
992,DDTL
993,CPD
994,PPIL4
995,ZSCAN23
996,LINC01410
997,LINC00648
998,EPHB2
999,XPO7
1000,AGTR2
1001,IGHG3
1002,C2CD3
1003,PUM2
1004,KRT4
1005,SLFN12L
1006,ZNF385B
1007,TRAV38-1
1008,MBTPS1
1009,MKRN1
1010,RBMX
1011,SMIM2
1012,LINC00602
1013,TRA2A
1014,SPATA7
1015,ALKBH3-AS1
1016,VAV1
1017,NHEJ1
1018,GSTA1
1019,SQLE
1020,ZFHX3
1021,GLRX5
1022,LRRC8D
1023,TMEM114
1024,TECTB
1025,CDC20B
1026,BCL2L10
1027,TTC8
1028,BLMH
1029,TRAF2
1030,SPEF2
1031,NF1
1032,UBALD1
1033,ADAMTS4
1034,BRMS1
1035,SFTA3
1036,HGFAC
1037,SIRT4
1038,ADAMTS9-AS2
1039,BRI3BP
1040,ARFRP1
1041,PCGEM1
1042,CS
1043,CLEC18B
1044,LINC01381
1045,PTPRCAP
1046,PSG1
1047,GADD45B
1048,WWTR1-AS1
1049,SH3D21
1050,TMEM178B
1051,MMEL1
1052,SSR1
1053,VMA21
1054,SEL1L
1055,NPB
1056,FKRP
1057,C12orf43
1058,LINC01250
1059,IPCEF1
1060,GEMIN2
1061,GHRLOS
1062,LINC00921
1063,SLCO3A1
1064,SULT2B1
1065,SLC5A4
1066,SLC52A1
1067,FCRL5
1068,EPB41
1069,POU5F2
1070,RIMBP3
1071,KLHL8
1072,C5AR2
1073,SFRP2
1074,SIRT5
1075,LCA5L
1076,ARHGEF37
1077,PRKCE
1078,PHF1
1079,ENTPD5
1080,COPZ1
1081,SLC25A16
1082,EAF2
1083,CCNC
1084,SERPINF2
1085,COL25A1
1086,MDH1B
1087,TRPM3
1088,RGS16
1089,OSTC
1090,TUBA4A
1091,ADGRD2
1092,SSTR2
1093,ZFP92
1094,HIBCH
1095,CD177
1096,CYP2E1
1097,HIVEP1
1098,ERICH6
1099,ZDHHC11B
1100,FREM3
1101,PDE12
1102,MRPS17
1103,LGI3
1104,ITCH
1105,RSL24D1
1106,LINC01179
1107,MBD3L5
1108,SMIM14
1109,HDAC3
1110,ABHD1
1111,FOXD4L6
1112,PTCD3
1113,CALR3
1114,CATSPER2
1115,FAM8A1
1116,NES
1117,FRMD5
1118,HAUS3
1119,MEIOC
1120,ACACB
1121,USH1G
1122,LINC00538
1123,PTPRH
1124,KLRC2
1125,CEP170
1126,RAB2A
1127,TPPP2
1128,PTK6
1129,DHX38
1130,AURKA
1131,PSMD9
1132,UBE2E2
1133,ARMCX1
1134,RPL10L
1135,TBC1D7
1136,GUCY1A2
1137,NSD1
1138,FSD1L
1139,CLEC2D
1140,SLF2
1141,SEMA5B
1142,TSPAN19
1143,IL17RB
1144,NDUFA5
1145,RBM12
1146,FAM20B
1147,WFDC5
1148,MAGEB16
1149,BCL6
1150,EPN3
1151,LINC00092
1152,SLC2A1
1153,CST8
1154,STK26
1155,IGHV3-11
1156,ZBTB49
1157,RND3
1158,PRRX2-AS1
1159,TCF4
1160,CFAP74
1161,OPA1
1162,MOGS
1163,SUCLG2
1164,B3GALT5
1165,CKAP2
1166,RPS10-NUDT3
1167,CBLC
1168,OR5H6
1169,TSHR
1170,SEC16B
1171,GPR4
1172,OTOF
1173,PCSK4
1174,ESX1
1175,TAS2R39
1176,TEX9
1177,CBX4
1178,ZNF84
