,0
385,AFTPH
386,AGA
387,AGAP1
388,AGAP2
389,AGAP2-AS1
390,AGAP3
391,AGAP4
392,AGAP5
393,AGAP6
394,AGAP9
395,AGBL1
396,AGBL1-AS1
397,AGBL2
398,AGBL3
399,AGBL4
400,AGBL5
401,AGBL5-AS1
402,AGFG1
403,AGFG2
404,AGGF1
405,AGK
406,AGL
407,AGMAT
408,AGMO
409,AGO1
410,AGO2
411,AGO3
412,AGO4
413,AGPAT2
414,AGPAT3
415,AGPAT4
416,AGPAT5
417,AGPS
418,AGR2
419,AGR3
420,AGRN
421,AGRP
422,AGT
423,AGTPBP1
424,AGTR1
425,AGTR2
426,AGTRAP
427,AGXT
428,AGXT2
429,AHCTF1
430,AHCY
431,AHCYL1
432,AHCYL2
433,AHDC1
434,AHI1
435,AHNAK
436,AHNAK2
437,AHR
438,AHRR
439,AHSA1
440,AHSG
441,AHSP
442,AICDA
443,AIDA
444,AIF1
445,AIF1L
446,AIFM1
447,AIFM2
448,AIFM3
449,AIG1
450,AIM2
451,AIMP1
452,AIMP2
453,AIP
454,AIPL1
455,AIRE
456,AIRN
457,AJAP1
458,AJUBA
459,AK1
460,AK2
461,AK3
462,AK4
463,AK5
464,AK7
465,AK8
466,AK9
467,AKAP1
468,AKAP10
469,AKAP11
470,AKAP12
471,AKAP13
472,AKAP14
473,AKAP3
474,AKAP4
475,AKAP5
476,AKAP6
477,AKAP7
478,AKAP8
479,AKAP8L
480,AKAP9
481,AKIP1
482,AKIRIN1
483,AKIRIN2
484,AKNA
485,AKNAD1
486,AKR1A1
487,AKR1B1
488,AKR1B10
489,AKR1B15
490,AKR1C1
491,AKR1C2
492,AKR1C3
493,AKR1C4
494,AKR1D1
495,AKR1E2
496,AKR7A2
497,AKR7A3
498,AKT1
499,AKT1S1
500,AKT2
501,AKT3
502,AKTIP
503,ALAD
504,ALAS1
505,ALAS2
506,ALB
507,ALCAM
508,ALDH16A1
509,ALDH18A1
510,ALDH1A1
511,ALDH1A2
512,ALDH1A3
513,ALDH1B1
514,ALDH1L1
515,ALDH1L1-AS1
516,ALDH1L1-AS2
517,ALDH1L2
518,ALDH2
519,ALDH3A1
520,ALDH3A2
521,ALDH3B1
522,ALDH3B2
523,ALDH4A1
524,ALDH5A1
525,ALDH6A1
526,ALDH7A1
527,ALDH8A1
528,ALDH9A1
529,ALDOA
530,ALDOB
531,ALDOC
532,ALG1
533,ALG10
534,ALG10B
535,ALG11
536,ALG12
537,ALG13
538,ALG14
539,ALG1L2
540,ALG2
541,ALG3
542,ALG5
543,ALG6
544,ALG8
545,ALG9
546,ALK
547,ALKBH1
548,ALKBH2
549,ALKBH3
550,ALKBH3-AS1
551,ALKBH4
552,ALKBH5
553,ALKBH6
554,ALKBH7
555,ALKBH8
556,ALLC
557,ALMS1
558,ALOX12
559,ALOX12-AS1
560,ALOX12B
561,ALOX15
562,ALOX15B
563,ALOX5AP
564,ALOXE3
565,ALPI
566,ALPK1
567,ALPK2
568,ALPK3
569,ALPL
570,ALPP
571,ALS2
572,ALS2CL
573,ALX1
574,ALX3
575,ALX4
576,ALYREF
577,AMACR
578,AMBN
579,AMBP
580,AMBRA1
581,AMD1
582,AMDHD1
583,AMDHD2
584,AMELX
585,AMELY
586,AMER1
587,AMER2
588,AMER3
589,AMFR
590,AMH
591,AMHR2
592,AMIGO1
593,AMIGO2
594,AMIGO3
595,AMMECR1
596,AMMECR1L
597,AMN
598,AMN1
599,AMOT
600,AMOTL1
601,AMOTL2
602,AMPD1
603,AMPD2
604,AMPD3
605,AMPH
606,AMT
607,AMTN
608,AMY1A
609,AMY1B
610,AMY1C
611,AMY2A
612,AMY2B
613,AMZ1
614,AMZ2
615,ANAPC1
616,ANAPC10
617,ANAPC11
618,ANAPC13
619,ANAPC15
620,ANAPC16
621,ANAPC2
622,ANAPC4
623,ANAPC5
624,ANAPC7
625,ANG
626,ANGEL1
627,ANGEL2
628,ANGPT1
629,ANGPT2
630,ANGPT4
631,ANGPTL1
632,ANGPTL2
633,ANGPTL3
634,ANGPTL4
635,ANGPTL5
636,ANGPTL6
637,ANGPTL7
638,ANGPTL8
639,ANHX
640,ANK1
641,ANK2
642,ANK3
643,ANKAR
644,ANKDD1A
645,ANKDD1B
646,ANKEF1
647,ANKFN1
648,ANKFY1
649,ANKH
650,ANKHD1
651,ANKHD1-EIF4EBP3
652,ANKIB1
653,ANKK1
654,ANKLE1
655,ANKLE2
656,ANKMY1
657,ANKMY2
658,ANKRA2
659,ANKRD1
660,ANKRD10
661,ANKRD11
662,ANKRD12
663,ANKRD13A
664,ANKRD13B
665,ANKRD13C
666,ANKRD13D
667,ANKRD16
668,ANKRD17
669,ANKRD18A
670,ANKRD18B
671,ANKRD2
672,ANKRD20A1
673,ANKRD22
674,ANKRD23
675,ANKRD24
676,ANKRD26
677,ANKRD27
678,ANKRD28
679,ANKRD29
680,ANKRD30A
681,ANKRD30B
682,ANKRD30BL
683,ANKRD31
684,ANKRD33
685,ANKRD33B
686,ANKRD34A
687,ANKRD34B
688,ANKRD34C
689,ANKRD35
690,ANKRD36C
691,ANKRD37
692,ANKRD39
693,ANKRD40
694,ANKRD42
695,ANKRD44
696,ANKRD46
697,ANKRD49
698,ANKRD50
699,ANKRD52
700,ANKRD53
701,ANKRD54
702,ANKRD55
703,ANKRD6
704,ANKRD60
705,ANKRD61
706,ANKRD62
707,ANKRD63
708,ANKRD65
709,ANKRD66
710,ANKRD7
711,ANKRD9
712,ANKS1A
713,ANKS1B
714,ANKS3
715,ANKS6
716,ANKUB1
717,ANKZF1
718,ANLN
719,ANO1
720,ANO10
721,ANO2
722,ANO3
723,ANO5
724,ANO6
725,ANO7
726,ANO8
727,ANO9
728,ANOS1
729,ANP32A
730,ANP32B
731,ANP32D
732,ANP32E
733,ANPEP
734,ANTXR1
735,ANTXR2
736,ANTXRL
737,ANXA1
738,ANXA10
739,ANXA11
740,ANXA13
741,ANXA2
742,ANXA2R
743,ANXA3
744,ANXA4
745,ANXA5
746,ANXA6
747,ANXA7
748,ANXA8
749,ANXA8L1
750,ANXA9
751,AOAH
752,AOC1
753,AOC2
754,AOC3
755,AOX1
756,AP1AR
757,AP1B1
758,AP1G1
759,AP1G2
760,AP1M1
761,AP1M2
762,AP1S1
763,AP1S2
764,AP1S3
765,AP2A1
