metric,cancer,head,value,std,arm_tag,run_on,results_dir,command
td-AUC,LUAD,deepsurv,0.6203,0.0777,mp_ds_s10,A800,output/a800/LUAD/mp_ds_s10,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 1.0 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/mp_ds_s10/fold${FOLD}_run; done
td-AUC,LUAD,deephit,0.6457,0.0538,Ld_tb10,A800,output/a800/LUAD/Ld_tb10,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --loss_fn deephit --num_time_bins 10 --residual_hfuse_to_bulk --sc_scale 0.03 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Ld_tb10/fold${FOLD}_run; done
td-AUC,STAD,cox,0.5925,0.0497,lr1e3_cox,A800,output/a800/STAD/lr1e3_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/lr1e3_cox/fold${FOLD}_run; done
td-AUC,STAD,deepsurv,0.5902,0.0447,h_ds,A800,output/a800/STAD/h_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/h_ds/fold${FOLD}_run; done
td-AUC,STAD,deephit,0.6128,0.0476,mp_lr1e3_dh,A800,output/a800/STAD/mp_lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/mp_lr1e3_dh/fold${FOLD}_run; done
IBS,BRCA,cox,0.1847,0.0255,h_cox,4090,output/f4090/BRCA/h_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/h_cox/fold${FOLD}_run; done
IBS,BRCA,deepsurv,0.1984,0.0404,mp_ds,4090,output/f4090/BRCA/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/mp_ds/fold${FOLD}_run; done
IBS,BRCA,deephit,0.2964,0.0567,gm_dh,A800,output/a800/BRCA/gm_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/BRCA/gm_dh/fold${FOLD}_run; done
IBS,COAD,cox,0.2018,0.0188,mp_dcox_g01,4090,output/coad_fix/COAD/mp_dcox_g01,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_gate_init 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/coad_fix/COAD/mp_dcox_g01/fold${FOLD}_run; done
IBS,COAD,deepsurv,0.2578,0.057,mp_ds,4090,output/f4090/COAD/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/mp_ds/fold${FOLD}_run; done
IBS,COAD,deephit,0.3476,0.0708,h_dh,4090,output/f4090/COAD/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/h_dh/fold${FOLD}_run; done
IBS,HNSC,cox,0.1789,0.0402,mp_cox_s10,A800,output/a800/HNSC/mp_cox_s10,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 1.0 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/mp_cox_s10/fold${FOLD}_run; done
IBS,HNSC,deepsurv,0.1826,0.0278,mp_lr1e3_ds,A800,output/a800/HNSC/mp_lr1e3_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/mp_lr1e3_ds/fold${FOLD}_run; done
IBS,HNSC,deephit,0.1906,0.049,lr1e3_dh,A800,output/a800/HNSC/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/lr1e3_dh/fold${FOLD}_run; done
IBS,KIRC,cox,0.1649,0.0155,Kcw200_d512,A800,output/a800/KIRC/Kcw200_d512,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --embed_dim 512 --epochs 200 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/KIRC/Kcw200_d512/fold${FOLD}_run; done
IBS,KIRC,deepsurv,0.1636,0.0148,Kd_esf035,4090,output/f4090/KIRC/Kd_esf035,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_fraction 0.35 --epochs 200 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.01 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/Kd_esf035/fold${FOLD}_run; done
IBS,KIRC,deephit,0.1716,0.0097,lr1e3_dh,4090,output/f4090/KIRC/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/lr1e3_dh/fold${FOLD}_run; done
IBS,LGG,cox,0.1539,0.033,noaux_cox,4090,output/f4090/LGG/noaux_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/noaux_cox/fold${FOLD}_run; done
IBS,LGG,deepsurv,0.1504,0.0267,mp_ds,A800,output/a800/LGG/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LGG/mp_ds/fold${FOLD}_run; done
IBS,LGG,deephit,0.1549,0.0402,lr1e3_dh,4090,output/f4090/LGG/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/lr1e3_dh/fold${FOLD}_run; done
IBS,LIHC,cox,0.2083,0.021,mp_cox,A800,output/a800/LIHC/mp_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/mp_cox/fold${FOLD}_run; done
IBS,LIHC,deepsurv,0.2158,0.0226,mp_ds,A800,output/a800/LIHC/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/mp_ds/fold${FOLD}_run; done
IBS,LIHC,deephit,0.2651,0.0293,h_dh,A800,output/a800/LIHC/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/h_dh/fold${FOLD}_run; done
IBS,LUAD,cox,0.2097,0.0287,Lc_mpsim_noaux_s001,A800,output/a800/LUAD/Lc_mpsim_noaux_s001,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.01 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Lc_mpsim_noaux_s001/fold${FOLD}_run; done
IBS,LUAD,deepsurv,0.203,0.0203,mp_ds_s001,A800,output/a800/LUAD/mp_ds_s001,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.01 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/mp_ds_s001/fold${FOLD}_run; done
IBS,LUAD,deephit,0.203,0.0444,Ld_d512_noaux_mp_s003,A800,output/a800/LUAD/Ld_d512_noaux_mp_s003,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --embed_dim 512 --epochs 80 --gamma_mask 0.0 --loss_fn deephit --pooling mean --residual_hfuse_to_bulk --sc_scale 0.03 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Ld_d512_noaux_mp_s003/fold${FOLD}_run; done
IBS,STAD,cox,0.2157,0.0151,mp_cox_s001,A800,output/a800/STAD/mp_cox_s001,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.01 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/mp_cox_s001/fold${FOLD}_run; done
IBS,STAD,deepsurv,0.2207,0.0162,mp_ds_s001,A800,output/a800/STAD/mp_ds_s001,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.01 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/mp_ds_s001/fold${FOLD}_run; done
IBS,STAD,deephit,0.208,0.0535,lr1e3_dh,A800,output/a800/STAD/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/lr1e3_dh/fold${FOLD}_run; done
