metric,cancer,head,value,std,arm_tag,run_on,results_dir,command
C-index,KIRC,deepsurv,0.7102,0.0286,Kd_noaux_cat_s001,4090,output/f4090/KIRC/Kd_noaux_cat_s001,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.01 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/Kd_noaux_cat_s001/fold${FOLD}_run; done
C-index,KIRC,deephit,0.7071,0.0348,noaux_dh,4090,output/f4090/KIRC/noaux_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer KIRC --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/KIRC/noaux_dh/fold${FOLD}_run; done
C-index,LGG,cox,0.8374,0.0239,noaux_cox,4090,output/f4090/LGG/noaux_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/noaux_cox/fold${FOLD}_run; done
C-index,LGG,deepsurv,0.8306,0.0355,Gd_noaux_s003,4090,output/f4090/LGG/Gd_noaux_s003,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.03 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/Gd_noaux_s003/fold${FOLD}_run; done
C-index,LGG,deephit,0.8012,0.0503,lr1e3_dh,4090,output/f4090/LGG/lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LGG --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/LGG/lr1e3_dh/fold${FOLD}_run; done
C-index,LIHC,cox,0.661,0.0346,mp_cox,A800,output/a800/LIHC/mp_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/mp_cox/fold${FOLD}_run; done
C-index,LIHC,deepsurv,0.6664,0.0148,mp_ds,A800,output/a800/LIHC/mp_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/mp_ds/fold${FOLD}_run; done
C-index,LIHC,deephit,0.6656,0.0241,h_dh,A800,output/a800/LIHC/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LIHC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LIHC/h_dh/fold${FOLD}_run; done
C-index,LUAD,cox,0.6314,0.0545,Lc_dp0_s001,A800,output/a800/LUAD/Lc_dp0_s001,"for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_encoder light_mlp --bulk_mlp_dropout 0.0 --bulk_mlp_hidden 2048,1024 --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --embed_dim 512 --epochs 80 --fusion_type concat_mlp --gamma_mask 0.0 --residual_hfuse_to_bulk --sc_scale 0.01 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Lc_dp0_s001/fold${FOLD}_run; done"
C-index,LUAD,deepsurv,0.6106,0.0355,mp_ds_s03,A800,output/a800/LUAD/mp_ds_s03,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --residual_hfuse_to_bulk --sc_scale 0.3 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/mp_ds_s03/fold${FOLD}_run; done
