gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000123500.9,806623.6514844121,-7.072382552983954,8.339327371212127e-156,1.496408903490304e-151,ENSG00000123500.9
ENSG00000099953.9,2241931.877671406,-6.343374923100013,4.079706717957323e-145,3.66031286735131e-141,ENSG00000099953.9
ENSG00000119927.13,416929.5572693607,4.130584874119682,4.923717461017329e-102,2.9450395373498314e-98,ENSG00000119927.13
ENSG00000060718.20,1129086.1504111139,-6.445056803431625,2.9469018922701877e-101,1.321980188872406e-97,ENSG00000060718.20
ENSG00000117650.12,137983.29173003175,-4.271212604539228,7.37441098297229e-100,2.2054405113075793e-96,ENSG00000117650.12
ENSG00000230838.1,26063.739972439795,-5.567382066324667,7.3284204840637e-100,2.2054405113075793e-96,ENSG00000230838.1
ENSG00000079308.16,1438559.4106727345,2.9977477858685373,2.8709182453029563e-91,7.359393856245179e-88,ENSG00000079308.16
ENSG00000022267.16,728449.2094813813,4.788886984863612,1.0445610367761676e-90,2.3429504054889437e-87,ENSG00000022267.16
ENSG00000090889.11,151967.12363120858,-4.018933364673813,1.1804333770902943e-87,2.353521835389805e-84,ENSG00000090889.11
ENSG00000163815.5,141244.43010259987,3.8439993125554155,1.8507915430220503e-86,3.321060344798767e-83,ENSG00000163815.5
ENSG00000133800.8,72588.30184224753,5.088756022766667,7.659149369403325e-86,1.2494161480415751e-82,ENSG00000133800.8
ENSG00000203805.10,40985.0876529801,-4.949211276151277,7.269793426614386e-83,1.0870764437264045e-79,ENSG00000203805.10
ENSG00000226009.1,12176.837840456872,4.949840345448886,8.190151628722211e-82,1.1304929294291644e-78,ENSG00000226009.1
ENSG00000105974.11,813909.078770787,3.397462812459253,1.6116296181434781e-81,2.0656487048547552e-78,ENSG00000105974.11
ENSG00000164849.9,48156.07750406254,2.943348440794902,2.0195511383475137e-80,2.4159217084338523e-77,ENSG00000164849.9
ENSG00000101605.12,29223.3877775913,3.512681193351619,4.029020922086931e-80,4.5185469641204926e-77,ENSG00000101605.12
ENSG00000123485.11,88392.94082276858,-3.797110194157306,5.551501042249936e-80,5.859772629537226e-77,ENSG00000123485.11
ENSG00000056998.19,206860.87771022134,4.133139723999345,1.791031310772973e-79,1.7854592133616793e-76,ENSG00000056998.19
ENSG00000276043.4,138872.7032613018,-3.453951863035197,1.9813533727673777e-78,1.871231837944096e-75,ENSG00000276043.4
ENSG00000148180.19,3583269.1843690076,2.688046447762891,2.941908309990289e-78,2.6394801357232876e-75,ENSG00000148180.19
ENSG00000135437.9,49734.722835110624,3.9239834617056775,9.228618363902038e-78,7.885634662945627e-75,ENSG00000135437.9
ENSG00000095637.21,613262.7793611119,3.55188367600528,4.037643383235979e-76,3.293248766763018e-73,ENSG00000095637.21
ENSG00000226650.5,7502.364409460483,-3.9297482480636834,5.542143091078278e-76,4.3238354620134186e-73,ENSG00000226650.5
ENSG00000029559.6,16595.911686801788,-6.909590023218455,6.268970715124741e-76,4.687100438008264e-73,ENSG00000029559.6
ENSG00000088325.15,477046.9637129368,-3.821222490951371,7.757738339834636e-76,5.568194270799708e-73,ENSG00000088325.15
ENSG00000137745.11,152960.36260592673,-6.607456014499397,1.5336392953221419e-75,1.0584470582792505e-72,ENSG00000137745.11
ENSG00000169418.9,107616.15625866594,3.547080252150703,3.172714218243685e-75,2.1085623678579515e-72,ENSG00000169418.9
ENSG00000123612.15,49974.808686383294,5.175103772415132,3.778760636657927e-75,2.4216457451496373e-72,ENSG00000123612.15
ENSG00000143228.12,101031.1974948091,-3.9412704338607134,7.152880154992971e-75,4.425906258661857e-72,ENSG00000143228.12
ENSG00000175063.16,219703.17601523586,-4.323531976133763,7.572258430261534e-75,4.529220175753765e-72,ENSG00000175063.16
ENSG00000158402.18,33379.11751158074,-3.2588484786904037,8.435344746900062e-75,4.88270406897983e-72,ENSG00000158402.18
ENSG00000137804.12,267409.5972573761,-3.230518567188836,3.719246556502531e-74,2.085567506558794e-71,ENSG00000137804.12
ENSG00000244734.3,229815.58662306002,5.65242823323772,7.599077271177827e-74,4.1320558349701495e-71,ENSG00000244734.3
