gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000123500.9,817014.2935254836,-7.431484651422714,2.53248925074012e-145,4.5445519604531454e-141,ENSG00000123500.9
ENSG00000099953.9,2312871.2472353326,-6.354038153042561,1.3755628907520106e-118,1.2342238037272416e-114,ENSG00000099953.9
ENSG00000117650.12,136361.55552845672,-4.417667510701935,1.5125141462300522e-102,9.047355451366096e-99,ENSG00000117650.12
ENSG00000119927.13,382930.49105725763,4.273418831386054,7.346466515885754e-98,3.2958085406892465e-94,ENSG00000119927.13
ENSG00000230838.1,25424.30280472205,-5.800439222318569,3.7368510242443046e-91,1.341155832601281e-87,ENSG00000230838.1
ENSG00000137745.11,154409.52083634335,-7.744701015124566,1.75521888050389e-88,5.249567135107051e-85,ENSG00000137745.11
ENSG00000079308.16,1333564.7424896304,3.1369218514184363,1.9928001375295175e-84,5.108685495423884e-81,ENSG00000079308.16
ENSG00000060718.20,1124927.9634545217,-6.454057950754527,9.682761355589841e-82,2.171964406575746e-78,ENSG00000060718.20
ENSG00000090889.11,148751.3240965702,-4.036888223895983,1.426969962178103e-79,2.8452195523651173e-76,ENSG00000090889.11
ENSG00000226009.1,11152.111860854582,5.092555747813266,7.035068967191942e-76,1.262443126162594e-72,ENSG00000226009.1
ENSG00000163815.5,121100.1342684739,3.7312576473435746,1.4813052469960937e-74,2.416547514304082e-71,ENSG00000163815.5
ENSG00000022267.16,629694.5491674503,4.771983530965117,2.6644083906198753e-74,3.984400714139472e-71,ENSG00000022267.16
ENSG00000029559.6,15017.335192581802,-7.314283872971342,7.020382631708784e-74,9.690828178924164e-71,ENSG00000029559.6
ENSG00000101605.12,26954.629813025982,3.6479856376015793,1.250501733888256e-72,1.6028752581874824e-69,ENSG00000101605.12
ENSG00000276043.4,141000.87025028275,-3.4820160366300725,2.1149278385805614e-72,2.5301586708885446e-69,ENSG00000276043.4
ENSG00000105974.11,746279.3189680127,3.4527169329215037,2.837321527037706e-71,3.1822334251682275e-68,ENSG00000105974.11
ENSG00000095637.21,562346.9363657935,3.7052035843576103,6.959924204681035e-70,7.346814109000069e-67,ENSG00000095637.21
ENSG00000056998.19,190629.01210009083,4.252253189768565,1.3457512927884287e-69,1.3416392749493528e-66,ENSG00000056998.19
ENSG00000143228.12,99797.09590665108,-4.020508659650184,3.2719257557063105e-68,3.0902477729552496e-65,ENSG00000143228.12
