gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000123500.9,775985.0810388903,-7.1873623389470165,1.961987328008785e-169,3.5203938626461627e-165,ENSG00000123500.9
ENSG00000099953.9,2181985.3604781926,-6.390987803349092,1.4387214563035572e-146,1.2907489545227363e-142,ENSG00000099953.9
ENSG00000117650.12,127302.53144538983,-4.451744514613773,4.228297915370077e-122,2.528944983182843e-118,ENSG00000117650.12
ENSG00000119927.13,397892.77384278766,4.1005583789243225,6.552734932940331e-107,2.939393072543709e-103,ENSG00000119927.13
ENSG00000230838.1,24590.980013181343,-5.509491221223418,9.648398192138397e-104,3.462424175230785e-100,ENSG00000230838.1
ENSG00000060718.20,1083166.8081375512,-6.409695051715756,5.342671454653186e-102,1.5977258985140352e-98,ENSG00000060718.20
ENSG00000090889.11,138578.60136779575,-4.084235998090663,5.52418262761942e-100,1.4160058412482178e-96,ENSG00000090889.11
ENSG00000133800.8,70415.09863851873,5.127955528001979,8.475586739529474e-94,1.9009681608422169e-90,ENSG00000133800.8
ENSG00000079308.16,1408361.7274200404,2.960916892777335,9.017796792299268e-91,1.7978480871580642e-87,ENSG00000079308.16
ENSG00000203805.10,40988.066650982306,-5.069334220121552,2.7342122461150985e-89,4.905997033204321e-86,ENSG00000203805.10
ENSG00000022267.16,701961.297112008,4.6621521410512585,3.0728528779332584e-86,5.0123817444324056e-83,ENSG00000022267.16
ENSG00000123485.11,82957.6464867579,-3.8396637517432772,1.0273405834447869e-85,1.5361310073958178e-82,ENSG00000123485.11
ENSG00000105974.11,800908.8011428918,3.3532496829553877,2.3751486652837437e-85,3.278253269322017e-82,ENSG00000105974.11
ENSG00000226009.1,11757.00351396349,4.880910108275693,1.7173909810513037e-83,2.2010818837859674e-80,ENSG00000226009.1
ENSG00000276043.4,133834.36872926223,-3.5088093861726826,1.7289879785367515e-82,2.0682154199256623e-79,ENSG00000276043.4
ENSG00000088325.15,436749.28835432796,-3.842557326323412,3.434931318325236e-82,3.8520607902943567e-79,ENSG00000088325.15
ENSG00000170262.12,34469.3346103431,2.4365973813566217,4.2490042411091966e-82,4.4846990057777833e-79,ENSG00000170262.12
ENSG00000077152.9,121852.66473607943,-3.3754550373531305,5.600891580030089e-82,5.583155423359994e-79,ENSG00000077152.9
ENSG00000143228.12,93295.4922767828,-4.003916787583305,8.465952045090989e-82,7.994977765529874e-79,ENSG00000143228.12
ENSG00000169607.12,67999.88869300933,-3.6837468817505847,1.2390791340692393e-81,1.111639845130218e-78,ENSG00000169607.12
ENSG00000135451.12,81455.71799542289,-3.9329085451026073,1.4491961817003941e-81,1.2382346232500083e-78,ENSG00000135451.12
ENSG00000137804.12,252572.45561862047,-3.2852243194557227,2.2739911135755296e-81,1.854646479585715e-78,ENSG00000137804.12
ENSG00000175063.16,211512.1247618364,-4.428909718296665,1.4218498739141357e-80,1.109228360332232e-77,ENSG00000175063.16
ENSG00000158402.18,32045.216668445264,-3.2765014112757567,5.8263189032989894e-80,4.355901670078907e-77,ENSG00000158402.18
ENSG00000137745.11,152600.22597289496,-6.683966843561003,9.175033208143311e-80,6.585104834148617e-77,ENSG00000137745.11
ENSG00000112984.11,165577.94791902843,-3.626797439007138,6.277402031479025e-79,4.332131717339544e-76,ENSG00000112984.11
ENSG00000075702.16,69488.45509224,-3.0199465248881805,1.0805202058089862e-78,7.18065705660394e-76,ENSG00000075702.16
ENSG00000226650.5,6790.4480217318305,-3.9106787093736495,3.162934599143424e-78,2.0268762683010877e-75,ENSG00000226650.5
ENSG00000029559.6,14871.638653763403,-6.979385931747263,1.2161454497589731e-77,7.52458545000871e-75,ENSG00000029559.6
ENSG00000066279.17,184207.0664897108,-3.959639826690151,1.7273040849590255e-77,1.0331005732139933e-74,ENSG00000066279.17
ENSG00000169418.9,103033.50827594288,3.485698442227511,1.981409794353084e-77,1.1468527722605607e-74,ENSG00000169418.9
ENSG00000072571.19,84731.61215246673,-3.355768254014654,1.3279625751992714e-76,7.446135152125164e-74,ENSG00000072571.19
ENSG00000138180.15,124737.63342934476,-3.6244477286774104,1.420491112349037e-76,7.723597584508719e-74,ENSG00000138180.15
