gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000123500.9,815097.3365605545,-7.197679311503363,1.1374861782912636e-164,2.0412189469436725e-160,ENSG00000123500.9
ENSG00000099953.9,2234182.929323863,-6.388038753346067,2.8175525425121434e-151,2.528049018769021e-147,ENSG00000099953.9
ENSG00000117650.12,129988.2465003924,-4.238839889178298,1.2234874104658167e-109,7.318493860269693e-106,ENSG00000117650.12
ENSG00000230838.1,25831.82722906205,-5.630062458312872,1.8259174166599313e-109,8.191522010490617e-106,ENSG00000230838.1
ENSG00000203805.10,41049.60763839285,-5.492969944930646,8.281274273523368e-109,2.9721493367675368e-105,ENSG00000203805.10
ENSG00000119927.13,420040.80295527086,4.1454035642244405,9.900808768924809e-103,2.9611668893059283e-99,ENSG00000119927.13
ENSG00000060718.20,1158494.1667252376,-6.369850393052812,1.2435462494618311e-99,3.1879196352275084e-96,ENSG00000060718.20
ENSG00000090889.11,141666.94157065512,-4.0147985238219395,2.21406119922817e-99,4.9664160275186885e-96,ENSG00000090889.11
ENSG00000022267.16,739076.7104485615,4.734437124881619,2.3078619384005166e-92,4.601620276066364e-89,ENSG00000022267.16
ENSG00000079308.16,1440315.500794675,2.9876525684169697,7.893713330459219e-91,1.416526857150907e-87,ENSG00000079308.16
ENSG00000088325.15,443421.78195122426,-3.8245644555688854,3.1183724294505208e-86,5.087199386044508e-83,ENSG00000088325.15
ENSG00000276043.4,132772.19754871388,-3.5060860014550093,2.2698011887473765e-85,3.3942985276726393e-82,ENSG00000276043.4
ENSG00000226009.1,12809.740990204533,4.995003007138235,3.3294586549520005e-85,4.5959335048548965e-82,ENSG00000226009.1
ENSG00000123485.11,85787.49450482763,-3.799767251186626,1.6909599974375218e-84,2.1674483681440234e-81,ENSG00000123485.11
ENSG00000137745.11,160069.61922875623,-6.771885756994454,2.045606413630606e-84,2.447227139506748e-81,ENSG00000137745.11
ENSG00000133800.8,73157.21145244392,4.992342718175585,2.9665955776062517e-84,3.3272223525090115e-81,ENSG00000133800.8
ENSG00000056998.19,210162.78942589025,4.161389883315309,8.207160756875422e-84,8.663382340125262e-81,ENSG00000056998.19
ENSG00000137804.12,257327.98946647914,-3.2288958926384494,3.4784125284642756e-82,3.4677840457384127e-79,ENSG00000137804.12
ENSG00000163815.5,135259.7644684634,3.6495598379085084,3.7701944959553546e-82,3.5608494857852024e-79,ENSG00000163815.5
ENSG00000101605.12,29709.634671506956,3.540675902873331,6.030614049976421e-82,5.410968456341344e-79,ENSG00000101605.12
ENSG00000158402.18,31952.596120399947,-3.245086378262491,3.979290206085984e-81,3.40039822610538e-78,ENSG00000158402.18
ENSG00000169607.12,68700.53627364429,-3.5656605181485053,1.6392402225496656e-80,1.3370984451660794e-77,ENSG00000169607.12
ENSG00000175063.16,220128.21718535363,-4.4192089592174275,3.0253397634987115e-80,2.2620717523326826e-77,ENSG00000175063.16
ENSG00000029559.6,15526.255440405715,-6.846421312811978,2.9816508528075633e-80,2.2620717523326826e-77,ENSG00000029559.6
ENSG00000170373.8,109201.9114387116,-7.856531921712825,8.661169410492905e-80,6.216987402851807e-77,ENSG00000170373.8
ENSG00000105974.11,825558.5428760608,3.3103735123562066,1.5341841314305572e-78,1.058882086096975e-75,ENSG00000105974.11
ENSG00000143228.12,99750.1301411025,-3.98262341904186,1.6896977957531577e-78,1.1230232201774228e-75,ENSG00000143228.12
ENSG00000148180.19,3605701.1995935803,2.6184787795904896,1.7992181326733365e-78,1.153106049672251e-75,ENSG00000148180.19
ENSG00000122641.10,448484.30359412835,-3.6213780504436666,6.487685729976285e-78,3.880717347480814e-75,ENSG00000122641.10
ENSG00000135451.12,82622.80472855765,-3.7954326968996144,6.334395418639375e-78,3.880717347480814e-75,ENSG00000135451.12
ENSG00000226650.5,6945.297921518101,-3.872138451231067,6.885957980761214e-78,3.986081160153548e-75,ENSG00000226650.5
ENSG00000164849.9,48640.23703778112,2.9131034873452437,8.637130629928345e-78,4.843540911064505e-75,ENSG00000164849.9
ENSG00000075702.16,70294.25301184252,-3.0355447652946452,1.9794386968134106e-77,1.0763947701308076e-74,ENSG00000075702.16
ENSG00000077152.9,122290.2424006577,-3.288604756296827,5.425031604212359e-77,2.86329976875267e-74,ENSG00000077152.9
ENSG00000095637.21,610592.4015092757,3.534470069711118,8.771144653025179e-77,4.4970911656724806e-74,ENSG00000095637.21
ENSG00000112984.11,172224.27660586667,-3.5695146185656395,1.8744966934005398e-76,9.343845323075747e-74,ENSG00000112984.11
ENSG00000169418.9,109143.82524073104,3.5270287164395735,4.200086757149789e-76,2.0370420772176476e-73,ENSG00000169418.9
ENSG00000072571.19,84521.60770982358,-3.2435761033153536,4.948157739034363e-76,2.3367023849203063e-73,ENSG00000072571.19
ENSG00000123612.15,52604.35649564565,5.184608802402238,1.2216211286064612e-75,5.6210233725238327e-73,ENSG00000123612.15
ENSG00000169679.14,155414.8551531275,-3.587817284568621,2.022228312421415e-75,9.072221766600574e-73,ENSG00000169679.14
ENSG00000152253.8,39611.386331695576,-2.8300016320350396,8.305367904126097e-75,3.635117732671776e-72,ENSG00000152253.8
ENSG00000089685.14,255115.3708396569,-3.937242383985061,2.467920213242344e-74,1.05444829111033e-71,ENSG00000089685.14
ENSG00000135437.9,50637.170302504135,3.8642420301400144,2.69176586569174e-74,1.1233427548799599e-71,ENSG00000135437.9
ENSG00000126787.12,100671.89662769825,-3.510427550106589,9.385219122977029e-74,3.827676299132336e-71,ENSG00000126787.12
ENSG00000025423.11,33309.280726885176,-2.581161425706439,4.543641106183531e-73,1.8119031033436324e-70,ENSG00000025423.11
ENSG00000143476.17,163829.57256891986,-3.0878522900500807,7.273257149078634e-73,2.837360859569915e-70,ENSG00000143476.17
ENSG00000166851.14,167887.50587685904,-3.5647803298162084,1.1056322750869471e-72,4.2213981226458013e-70,ENSG00000166851.14
ENSG00000171848.13,303122.0108086342,-3.646469217841682,5.757361689358903e-72,2.1524136565738652e-69,ENSG00000171848.13
ENSG00000127564.16,311386.1250950456,-3.116300344806012,5.902869396666965e-72,2.1617753331262997e-69,ENSG00000127564.16
